,CMIP6 Compound Name,Physical Parameter,Title,Description,Dimensions,Spatial Shape,Coordinates,Temporal Shape,Cell Methods,Cell Measures,KET comments,correct dimensions,correct cell methods,variableRootDD (if different from Phys. Param.),Region input,recommended reporting grid,Region,Review Requested,dimensions for determining branding suffix,cell_methods for determining branding suffix,variableRootDD,branded variable name
206,Oday.co3200,co3,Carbonate Ion Concentration,Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).,"longitude, latitude, time, swp20bar",Global field (single level),swp20bar,time-intv,area: time: mean,area: areacello,"name of dimension changed to ""oplev20bar"" consistent with branded variables.  Include ""where sea"" in cell_methods.","longitude, latitude, time, oplev20bar",area: mean where sea time: mean,,,ocean,glb,,"longitude, latitude, time, oplev20bar",area: mean where sea time: mean,co3,co3_tavg-u-hxy-sea
207,Oday.co3os,co3os,Surface Carbonate Ion Concentration,Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,as noted on my spreadsheet this needs a vertical coordinate.   Root name differs from physical parameter name because vertical location is indicated in the branding suffix.,longitude latitude time depth0m,,co3,,ocean,glb,,longitude latitude time depth0m,area: mean where sea time: mean,co3,co3_tavg-u-hm-sea
208,Oday.co3satarag200,co3satarag,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.,"longitude, latitude, time, swp20bar",Global field (single level),swp20bar,time-intv,area: time: mean,area: areacello,"name of dimension changed to ""oplev20bar"" consistent with branded variables.  Include ""where sea"" in cell_methods.","longitude, latitude, time, oplev20bar",area: mean where sea time: mean,,,ocean,glb,,"longitude, latitude, time, oplev20bar",area: mean where sea time: mean,co3satarag,co3satarag_tavg-u-hxy-sea
209,Oday.co3sataragos,co3sataragos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,as noted on my spreadsheet this needs a vertical coordinate.   Root name differs from physical parameter name because vertical location is indicated in the branding suffix.,longitude latitude time depth0m,,co3satarag,,ocean,glb,,longitude latitude time depth0m,area: mean where sea time: mean,co3satarag,co3satarag_tavg-u-hm-sea
210,AERday.cod,cod,Cloud Optical Depth,"The optical thickness is the integral along the path of radiation of a volume scattering/absorption/attenuation coefficient. The radiative flux is reduced by a factor exp(-optical_thickness) on traversing the path. A coordinate variable of radiation_wavelength or radiation_frequency can be specified to indicate that the optical thickness applies at specific wavelengths or frequencies. The atmosphere optical thickness applies to radiation passing through the entire atmosphere. ""Cloud"" means the component of extinction owing to the presence of liquid or ice water particles. The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity named by omitting the phrase.","longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,These should probably be weighted by total cloud area and possibly also incident SW radiation.,,area: time: mean where cloud,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where cloud,cod,cod_tavg-u-hxy-cl
211,AERmon.cod,cod,Cloud Optical Depth,"The optical thickness is the integral along the path of radiation of a volume scattering/absorption/attenuation coefficient. The radiative flux is reduced by a factor exp(-optical_thickness) on traversing the path. A coordinate variable of radiation_wavelength or radiation_frequency can be specified to indicate that the optical thickness applies at specific wavelengths or frequencies. The atmosphere optical thickness applies to radiation passing through the entire atmosphere. ""Cloud"" means the component of extinction owing to the presence of liquid or ice water particles. The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity named by omitting the phrase.","longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,These should probably be weighted by total cloud area and possibly also incident SW radiation.,,area: time: mean where cloud,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where cloud,cod,cod_tavg-u-hxy-cl
212,AERmon.conccn,conccn,Aerosol Number Concentration,This is the number concentration of air particles in air,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,conccn,conccn_tavg-l-hxy-u
213,E3hrPt.conccn,conccn,Sub-daily Aerosol Number Concentration at CF sites,"The variable represents the instantaneous Aerosol Number Concentration at CF sites, sampled every 3 hours","site, time1",Site (specific locations requested by CFMIP),,time-point,area: point time: point,::MODEL,,,,,,none,glb,,"site, time1",area: point time: point,conccn,conccn_tpt-u-hxys-u
214,Emon.cOther,cOther,"Carbon Mass in Vegetation Components Other than Leaves, Stems and Roots","E.g. fruits, seeds, etc.","longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,cOther,cOther_tavg-u-hxy-lnd
215,Lmon.cProduct,cProduct,Carbon Mass in Products of Land-Use Change,Carbon mass per unit area in that has been removed from the environment through  land use change.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,cProduct,cProduct_tavg-u-hxy-lnd
216,Eyr.cProductLut,cProductLut,Wood and Agricultural Product Pool Carbon Associated with Land-Use Tiles,"Anthropogenic pools associated with land use tiles into which harvests and cleared carbon are deposited before release into atmosphere PLUS any remaining anthropogenic pools that may be associated with lands which were converted into land use tiles during reported period. Examples of products include paper, cardboard, timber for construction, and crop harvest for food or fuel. Does NOT include residue which is deposited into soil or litter; end of year values (not annual mean).","longitude, latitude, landUse, time1",Global field (single level),,time-point,area: mean where sector time: point,area: areacella,"as noted in my spreadsheet, the root name should be made consistent:   root name should be ""cProduct"".  Ths branding suffix indicates that that the variable is a function of land use type.",,,cProduct,,atmosphere,glb,,"longitude, latitude, landUse, time1",area: mean where sector time: point,cProduct,cProduct_tpt-u-hxy-lus
217,Lmon.cRoot,cRoot,Carbon Mass in Roots,including fine and coarse roots.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,cRoot,cRoot_tavg-u-hxy-lnd
218,Eyr.cropFrac,cropFrac,Percentage Crop Cover,Percentage of entire grid cell  that is covered by crop.,"longitude, latitude, time, typecrop",Global field (single level),typecrop,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typecrop","area: mean time:mean"" (or ""area time: mean"")",cropFrac,cropFrac_tavg-u-hxy-u
219,Lmon.cropFrac,cropFrac,Percentage Crop Cover,Percentage of entire grid cell  that is covered by crop.,"longitude, latitude, time, typecrop",Global field (single level),typecrop,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typecrop","area: mean time:mean"" (or ""area time: mean"")",cropFrac,cropFrac_tavg-u-hxy-u
220,Emon.cropFracC3,cropFracC3,Percentage Cover by C3 Crops,Percentage of entire grid cell covered by C3 crops,"longitude, latitude, time, typec3crop",Global field (single level),typec3crop,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typec3crop","area: mean time:mean"" (or ""area time: mean"")",cropFracC3,cropFracC3_tavg-u-hxy-u
221,Emon.cropFracC4,cropFracC4,Percentage Cover by C4 Crops,Percentage of entire grid cell covered by C4 crops,"longitude, latitude, time, typec4crop",Global field (single level),typec4crop,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typec4crop","area: mean time:mean"" (or ""area time: mean"")",cropFracC4,cropFracC4_tavg-u-hxy-u
222,Emon.cSoil,cSoil,Carbon Mass in Model Soil Pool,Carbon mass in the full depth of the soil model.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,cSoil,cSoil_tavg-u-hxy-lnd
223,Emon.cSoilAbove1m,cSoilAbove1m,Carbon Mass in Soil Pool Above 1m Depth,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.,"longitude, latitude, time, sdepth10",Global field (single level),sdepth10,time-intv,area: mean where land time: mean,area: areacella,"as noted in my spreadsheet, the root name should be made consistent:  root name should be ""cSoil"".  Ths brranding suffix indicates that that the variable is for the upper 1 meter of soil.",,,,,atmosphere,glb,,"longitude, latitude, time, sdepth10",area: mean where land time: mean,cSoilAbove1m,cSoilAbove1m_tavg-z1m-hxy-lnd
224,Emon.cSoilLevels,cSoilLevels,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),"for models with vertically discretised soil carbon, report total soil carbon for each level","longitude, latitude, sdepth, time",Global field on soil levels,,time-intv,area: mean where land time: mean,area: areacella,"as noted in my spreadsheet, the root name should be made consistent: root name should be ""cSoil"".  The branding suffix indicates that that the variable is a function of soil levels.",,,cSoil,,atmosphere,glb,,"longitude, latitude, sdepth, time",area: mean where land time: mean,cSoil,cSoil_tavg-l-hxy-lnd
225,Eyr.cSoilLut,cSoilLut,Carbon in Soil Pool on Land-Use Tiles,end of year values (not annual mean),"longitude, latitude, landUse, time1",Global field (single level),,time-point,area: mean where sector time: point,area: areacella,"as noted in my spreadsheet, the root name should be made consistent:   root name should be ""cSoil"".  Ths branding suffix indicates that that the variable is a function of land use type.",,,cSoil,,atmosphere,glb,,"longitude, latitude, landUse, time1",area: mean where sector time: point,cSoil,cSoil_tpt-u-hxy-lus
226,Emon.cSoilPools,cSoilPools,Carbon Mass in Each Model Soil Pool (Summed over Vertical Levels),"For models with multiple soil carbon pools, report each pool here. If models also have vertical discretisation these should be aggregated","longitude, latitude, soilpools, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, soilpools, time",area: mean where land time: mean,cSoilPools,cSoilPools_tavg-u-hxy-lnd
227,Emon.cStem,cStem,Carbon Mass in Stem,including sapwood and hardwood.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,cStem,cStem_tavg-u-hxy-lnd
228,Lmon.cVeg,cVeg,Carbon Mass in Vegetation,Carbon mass per unit area in vegetation.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,cVeg,cVeg_tavg-u-hxy-lnd
229,Emon.cVegGrass,cVegGrass,Carbon Mass in Vegetation on Grass Tiles,"""Content"" indicates a quantity per unit area. ""Vegetation"" means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. ""producers"" of biomass using carbon obtained from carbon dioxide.","longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where natural_grasses (comment: mask=grassFrac),area: areacella,"The text ""comment:"", preceding the non-standard explanatory information is inconsistent with CF best practices.  Most users will have not clue what ""mask=grassFrac""  indicates.",,area: time: mean where natural_grasses ,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where natural_grasses ,cVegGrass,cVegGrass_tavg-u-hxy-ng
230,Eyr.cVegLut,cVegLut,Carbon in Vegetation on Land-Use Tiles,end of year values (not annual mean),"longitude, latitude, landUse, time1",Global field (single level),,time-point,area: mean where sector time: point,area: areacella,"as noted in my spreadsheet, the root name should be made consistent:   root name should be ""cVeg"".  Ths branding suffix indicates that that the variable is a function of land use type.",,,cVeg,,atmosphere,glb,,"longitude, latitude, landUse, time1",area: mean where sector time: point,cVeg,cVeg_tpt-u-hxy-lus
231,Emon.cVegShrub,cVegShrub,Carbon Mass in Vegetation on Shrub Tiles,"""Content"" indicates a quantity per unit area. ""Vegetation"" means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. ""producers"" of biomass using carbon obtained from carbon dioxide.","longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where shrubs (comment: mask=shrubFrac),area: areacella,"The root name should be made consistent with other varibles and be ""cVeg"".  (The masking applied to limit evaluation to ""shrubs"" will be indicated int the branding suffix).  The text ""comment:"", preceding the non-standard explanatory information is inconsistent with CF best practices.  Most users will have not clue what ""mask=shrubFrac""  indicates.",,area: time: mean where shrubs ,cVeg,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where shrubs ,cVeg,cVeg_tavg-u-hxy-shb
232,Emon.cVegTree,cVegTree,Carbon Mass in Vegetation on Tree Tiles,"""Content"" indicates a quantity per unit area. ""Vegetation"" means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. ""producers"" of biomass using carbon obtained from carbon dioxide.","longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where trees (comment: mask=treeFrac),area: areacella,"The root name should be made consistent with other varibles and be ""cVeg"".  (The masking applied to limit evaluation to ""trees"" will be indicated int the branding suffix).  The text ""comment:"", preceding the non-standard explanatory information is inconsistent with CF best practices.  Most users will have not clue what ""mask=treeFrac""  indicates.",,area: time: mean where trees ,cVeg,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where trees ,cVeg,cVeg_tavg-u-hxy-tree
233,Emon.cWood,cWood,Carbon Mass in Wood,Carbon Mass in Wood,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,cWood,cWood_tavg-u-hxy-lnd
234,Eday.dcw,dcw,Change in Interception Storage,change_over_time_in_canopy_water_amount,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,dcw,dcw_tavg-u-hxy-lnd
235,Emon.depdust,depdust,Total Deposition Rate of Dust,Fdry mass deposition rate of dust,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,depdust,depdust_tavg-u-hxy-u
236,fx.depthl,depthl,Depth of Lake Below the Surface,"Depth of lakes, if this quantity is present in the model. If computed via volume and area, then this is lake volume divided by lake area.","longitude, latitude",Global field (single level),,,area: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude",area: mean,depthl,depthl_ti-u-hxy-u
237,Ofx.deptho,deptho,Sea Floor Depth Below Geoid,Ocean bathymetry. Reported here is the sea floor depth for present day relative to z=0 geoid. Reported as missing for land grid cells.,"longitude, latitude, depthseafloor",Global field at sea floor,,,area: mean where sea,area: areacello,"remove the ""depthseafloor"" dimension.",,,,,ocean,glb,,"longitude, latitude, depthseafloor",area: mean where sea,deptho,deptho_ti-u-hxy-sea
238,fx.depthsl,depthsl,Total (Cumulative) Thickness of All Soil Layers,Total (cumulative) thickness of all soil layers. This is the sum of individual thicknesses of all soil layers.,"longitude, latitude",Global field (single level),,,area: mean,area: areacella,Can't users just obtain this from the levels (and bounds) specified for the soil layers?,,,,,atmosphere,glb,,"longitude, latitude",area: mean,depthsl,depthsl_ti-u-hxy-u
239,Oday.detoc,detoc,Detrital Organic Carbon Concentration,sum of detrital organic carbon component concentrations,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,detoc,detoc_tavg-l-hxy-sea
240,Omon.detoc,detoc,Detrital Organic Carbon Concentration,sum of detrital organic carbon component concentrations,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,detoc,detoc_tavg-l-hxy-sea
241,Omon.dfe,dfe,Dissolved Iron Concentration,"dissolved iron in sea water is meant to include both Fe2+ and Fe3+ ions (but not, e.g., particulate detrital iron)","longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,dfe,dfe_tavg-l-hxy-sea
242,Omon.dfeos,dfeos,Surface Dissolved Iron Concentration,"dissolved iron in sea water is meant to include both Fe2+ and Fe3+ ions (but not, e.g., particulate detrital iron)","longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,as noted on my spreadsheet this needs a vertical coordinate.   Root name differs from physical parameter name because vertical location is indicated in the branding suffix.,longitude latitude time depth0m,,dfe,,ocean,glb,,longitude latitude time depth0m,area: mean where sea time: mean,dfe,dfe_tavg-u-hm-sea
243,Eday.dgw,dgw,Change in Groundwater,change_over_time_in_groundwater,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacellr,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,dgw,dgw_tavg-u-hxy-lnd
244,Oyr.difmxybo,difmxybo,Ocean Momentum XY Biharmonic Diffusivity,Lateral biharmonic viscosity applied to the momentum equations.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,difmxybo,difmxybo_tavg-l-hxy-sea
245,Oyr.difmxylo,difmxylo,Ocean Momentum XY Laplacian Diffusivity,Lateral Laplacian viscosity applied to the momentum equations.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,difmxylo,difmxylo_tavg-l-hxy-sea
246,Oyr.diftrblo,diftrblo,Ocean Tracer Diffusivity Due to Parameterized Mesoscale Advection,"Ocean tracer diffusivity associated with parameterized eddy-induced advective transport. Sometimes this diffusivity is called the ""thickness"" diffusivity. For CMIP5, this diagnostic was called ""ocean tracer bolus laplacian diffusivity"".  The CMIP6 name is physically more relevant.","longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,diftrblo,diftrblo_tavg-l-hxy-sea
247,Oyr.diftrelo,diftrelo,Ocean Tracer Epineutral Laplacian Diffusivity,Ocean tracer diffusivity associated with parameterized eddy-induced diffusive transport oriented along neutral or isopycnal directions. Sometimes this diffusivity is called the neutral diffusivity or isopycnal diffusivity or Redi diffusivity.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,diftrelo,diftrelo_tavg-l-hxy-sea
248,Oyr.difvho,difvho,Ocean Vertical Heat Diffusivity,Vertical/dianeutral diffusivity applied to prognostic temperature field.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,difvho,difvho_tavg-l-hxy-sea
249,Oyr.difvso,difvso,Ocean Vertical Salt Diffusivity,Vertical/dianeutral diffusivity applied to prognostic salinity field.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,difvso,difvso_tavg-l-hxy-sea
250,Oyr.dispkexyfo,dispkexyfo,Ocean Kinetic Energy Dissipation per Unit Area Due to XY Friction,"Depth integrated impacts on kinetic energy arising from lateral frictional dissipation associated with Laplacian and/or biharmonic viscosity. For CMIP5, this diagnostic was 3d, whereas the CMIP6 depth integrated diagnostic is sufficient for many purposes and reduces archive requirements.","longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,dispkexyfo,dispkexyfo_tavg-u-hxy-sea
251,Omon.dissi13c,dissi13c,Dissolved Inorganic Carbon-13 Concentration,Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,dissi13c,dissi13c_tavg-l-hxy-sea
252,Omon.dissi13cos,dissi13cos,Surface Dissolved Inorganic Carbon-13 Concentration,Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,as noted on my spreadsheet this needs a vertical coordinate.   Root name differs from physical parameter name because vertical location is indicated in the branding suffix.,longitude latitude time depth0m,,dissi13c,,ocean,glb,,longitude latitude time depth0m,area: mean where sea time: mean,dissi13c,dissi13c_tavg-u-hm-sea
253,Emon.dissi14c,dissi14c,Dissolved Inorganic Carbon-14 Concentration,Dissolved inorganic carbon-14 (CO3+HCO3+H2CO3) concentration,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,dissi14c,dissi14c_tavg-l-hxy-sea
254,Omon.dissi14cabio,dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,Abiotic Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,dissi14cabio,dissi14cabio_tavg-l-hxy-sea
255,Omon.dissi14cabioos,dissi14cabioos,Surface Abiotic Dissolved Inorganic Carbon-14 Concentration,Abiotic Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,as noted on my spreadsheet this needs a vertical coordinate.   Root name differs from physical parameter name because vertical location is indicated in the branding suffix.,longitude latitude time depth0m,,dissi14cabio,,ocean,glb,,longitude latitude time depth0m,area: mean where sea time: mean,dissi14cabio,dissi14cabio_tavg-u-hm-sea
256,Omon.dissic,dissic,Dissolved Inorganic Carbon Concentration,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,dissic,dissic_tavg-l-hxy-sea
257,Omon.dissicos,dissicos,Surface Dissolved Inorganic Carbon Concentration,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,as noted on my spreadsheet this needs a vertical coordinate.   Root name differs from physical parameter name because vertical location is indicated in the branding suffix.,longitude latitude time depth0m,,dissic,,ocean,glb,,longitude latitude time depth0m,area: mean where sea time: mean,dissic,dissic_tavg-u-hm-sea
258,Oday.dissoc,dissoc,Dissolved Organic Carbon Concentration,Sum of dissolved carbon component concentrations explicitly represented (i.e. not ~40 uM refractory unless explicit),"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,dissoc,dissoc_tavg-l-hxy-sea
259,Omon.dissoc,dissoc,Dissolved Organic Carbon Concentration,Sum of dissolved carbon component concentrations explicitly represented (i.e. not ~40 uM refractory unless explicit),"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,dissoc,dissoc_tavg-l-hxy-sea
260,CFmon.dmc,dmc,Deep Convective Mass Flux,The net mass flux  represents the difference between the updraft and downdraft components.   This is calculated as the convective mass flux divided by the area of the whole grid cell (not just the area of the cloud).,"longitude, latitude, alevhalf, time",Global field on model atmosphere half-levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevhalf, time",area: time: mean,dmc,dmc_tavg-l-hxy-u
261,AERmon.dms,dms,Dimethyl Sulphide (DMS) Mole Fraction,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.","longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,dms,dms_tavg-l-hxy-u
262,Omon.dmso,dmso,Mole Concentration of Dimethyl Sulphide in Sea Water,Mole concentration of dimethyl sulphide in water,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,dmso,dmso_tavg-l-hxy-sea
263,Omon.dmsos,dmsos,Surface Mole Concentration of Dimethyl Sulphide in Sea Water,Mole concentration of dimethyl sulphide in water in the near surface layer,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,as noted on my spreadsheet this needs a vertical coordinate.   Root name differs from physical parameter name because vertical location is indicated in the branding suffix.,longitude latitude time depth0m,,dmso,,ocean,glb,,longitude latitude time depth0m,area: mean where sea time: mean,dmso,dmso_tavg-u-hm-sea
264,AERmon.do3chm,do3chm,Net Chemistry Tendency of O3,Net chemical production of ozone in the atmosphere,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,do3chm,do3chm_tavg-l-hxy-u
265,Omon.dpco2,dpco2,Delta CO2 Partial Pressure,Difference in partial pressure of carbon dioxide between sea water and air.  The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium. ,"longitude, latitude, time, depth0m",Global field (single level),depth0m,time-intv,area: mean where sea time: mean,area: areacello,"as noted in my spreadsheet, the ""depth0m"" scalar coordinate should be removed because the variable is only defined at the surface.",longitude latitude time,,,,ocean,glb,,longitude latitude time,area: mean where sea time: mean,dpco2,dpco2_tavg-u-hm-sea
